rank,bot,elo,matches,wins,losses,ties,win_rate,avg_score_delta,search_rate,search_conversion,prime_rate,carpet_rate,avg_carpet_len,avg_time_left
148,UNK:Rat most likely at (1, 5) with p=,1555.9,41,21,20,0,0.5122,-4.02,0.0939,0.5455,0.3817,0.1579,2.34,196.0
149,UNK:EliteAgent turns=40 depth=14 belief=,1553.1,167,82,84,1,0.4940,0.09,0.1575,0.5057,0.4322,0.1278,2.49,188.1
150,UNK:Denise: CarrieStudy-tuned HMM + AB-2 (pr,1552.5,39,16,21,2,0.4359,-3.79,0.1186,0.5459,0.4026,0.1647,2.25,234.5
151,UNK:Play the board well, but contest the rat,1551.2,276,138,124,14,0.5254,0.24,0.0793,0.6651,0.4372,0.1653,2.30,2.1
152,UNK:Turn 40 | depth: 100 | nodes: 5 | rat: (,1550.5,98,49,47,2,0.5102,1.38,0.1452,0.5606,0.4311,0.1548,2.37,26.1
153,UNK:Turns played: 40 | Rat belief max:,1550.0,120,67,51,2,0.5667,-0.09,0.1475,0.5777,0.3469,0.1873,2.10,233.9
154,UNK:Turn 40 | depth: 100 | nodes: 12 | rat:,1548.8,60,28,30,2,0.4833,1.07,0.1183,0.6162,0.4283,0.1562,2.28,21.0
155,UNK:Barry played 40 turns. searches=1 (hits=,1547.8,30,17,12,1,0.5833,6.63,0.0250,0.7667,0.4925,0.1717,2.48,22.6
156,UNK:Rolls(Me): [0, 0, 0, 0, 0, 0, 0] | Rolls,1547.7,44,18,25,1,0.4205,-2.48,0.0915,0.6025,0.4523,0.1619,2.26,53.8
157,OmegaBot,1547.1,367,171,185,11,0.4809,-3.75,0.1630,0.5612,0.3916,0.1240,2.38,12.1
158,Grandmaster_Bot,1546.5,863,356,477,30,0.4299,-3.48,0.1460,0.6015,0.4204,0.1198,2.47,49.2
159,Yolanda3_4,1545.9,281,119,158,4,0.4306,-2.90,0.2205,0.5319,0.3578,0.1233,2.39,228.2
160,UNK:RachelleBot V30 | Depth: 2, Nodes:,1541.3,178,81,92,5,0.4691,-1.38,0.1013,0.4508,0.4441,0.1145,2.69,81.7
161,VenatorMuris,1539.8,339,128,203,8,0.3894,-2.78,0.1064,0.6112,0.4305,0.1379,2.27,56.3
162,UNK:Running Iterative Deepening Minimax,1539.6,189,81,94,14,0.4656,0.58,0.0000,0.0000,0.4758,0.1835,2.36,181.1
163,UNK:bot2_5 expectiminimax | depth=6 nodes=,1539.3,181,82,95,4,0.4641,-0.65,0.0986,0.6639,0.4220,0.1482,2.37,231.5
164,UNK:thoruzi (alphazero),1534.9,31,10,19,2,0.3548,-6.42,0.1960,0.5885,0.4081,0.1105,2.34,74.4
165,UNK:Turns: 40 | searches chosen: 2 | best po,1533.7,182,87,88,7,0.4973,-1.29,0.0500,0.8214,0.3703,0.1848,2.12,220.7
